Store Number,Address,City,State,Zip Code,Phone Number,Store Hours,Country,Latitude,Longitude,Geo Accuracy,Country Code,County
1,115 Cabela Drive,Sidney,NE,69160,(308) 254-7889,"Monday - Friday: 9:00AM - 8:00PM, Saturday: 9:00AM - 8:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,41.1148112,-102.9619653,STREET_ADDRESS: ROOFTOP,US,Cheyenne County
2,3600 Highway 30 E,Kearney,NE,68847,(308) 234-3933,"Monday - Friday: 9:00 AM - 8:00 PM, Saturday: 9:00 AM - 8:00 PM, Sunday: 10:00 AM - 6:00 PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,40.7076066,-99.0332014,STREET_ADDRESS: ROOFTOP,US,Buffalo County
3,3900 Cabela Drive,Owatonna,MN,55060,(507) 451-4545,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,44.1347475,-93.2501999,STREET_ADDRESS: ROOFTOP,US,Steele County
4,33901 St. Hwy. 35,Prairie du Chien,WI,53821,(608) 326-5600,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.0531025,-91.0969400,POSTAL_CODE: APPROXIMATE,US,
5,210 DeMers Ave NW,East Grand Forks,MN,56721,(218) 773-0282,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 7:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,47.9283092,-97.0256594,STREET_ADDRESS: ROOFTOP,US,Polk County
6,601 Cabela Drive,Mitchell,SD,57301,(605) 996-0337,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.6897366,-98.0177515,STREET_ADDRESS: ROOFTOP,US,Davison County
7,110 Cabela Blvd. East,Dundee,MI,48131,(734) 529-4700,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM",United States,41.9643980,-83.6760244,STREET_ADDRESS: ROOFTOP,US,Monroe County
8,10300 Cabela Drive,Kansas City,KS,66111,(913) 328-0322,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,39.1210871,-94.8153600,STREET_ADDRESS: ROOFTOP,US,Wyandotte County
9,100 Cabela Drive,Hamburg,PA,19526,(610) 929-7000,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,40.5578958,-76.0020275,STREET_ADDRESS: ROOFTOP,US,Berks County
10,One Cabela Drive,Triadelphia,WV,26059,(304) 238-0120,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 8:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,40.0596539,-80.5963922,STREET_ADDRESS: ROOFTOP,US,Ohio County
11,12901 Cabelas Drive,Fort Worth,TX,76177,(817) 337-2400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,32.9611459,-97.3083256,STREET_ADDRESS: ROOFTOP,US,Tarrant County
12,15570 IH 35,Buda,TX,78610,(512) 295-1100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,30.0838083,-97.8222179,STREET_ADDRESS: ROOFTOP,US,Hays County
13,2502 Cabela's Blvd.,Lehi,UT,84043,(801) 766-2500,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,40.4375391,-111.8891893,STREET_ADDRESS: ROOFTOP,US,Utah County
14,20200 Rogers Drive,Rogers,MN,55374,(763) 493-8600,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,45.1874251,-93.5364421,STREET_ADDRESS: ROOFTOP,US,Hennepin County
15,9380 W. Glendale Ave.,Glendale,AZ,85305,(623) 872-6700,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,33.5392922,-112.2612741,STREET_ADDRESS: ROOFTOP,US,Maricopa County
16,2200 W. Cabela's Parkway,Gonzales,LA,70737,(225) 743-3400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,30.2056620,-90.9462513,STREET_ADDRESS: ROOFTOP,US,Ascension Parish
17,12703 Westport Parkway,La Vista,NE,68138,(402) 861-4800,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,41.1792693,-96.1113140,STREET_ADDRESS: ROOFTOP,US,Sarpy County
18,One Cabela Way,Richfield,WI,53076,(262) 628-5700,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, August 15: 8:00AM-9:00PM, August 29: 8:00AM-9:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.2783529,-88.1880496,STREET_ADDRESS: ROOFTOP,US,Washington County
19,8109 West Franklin Road,Boise,ID,83709,(208) 672-7900,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.6049108,-116.2837144,STREET_ADDRESS: RANGE_INTERPOLATED,US,Ada County
20,5555 St. Louis Mills Blvd. Ste. #167,Hazelwood,MO,63042,(314) 225-0100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 9:00PM Holiday hours are subject to change & will appear above when applicable.",United States,38.7892450,-90.4097627,SUBPREMISE: ROOFTOP,US,St Louis County
21,5225 Prairie Stone Pkwy,Hoffman Estates,IL,60192,(847) 645-0400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.0725199,-88.2053661,STREET_ADDRESS: ROOFTOP,US,Cook County
22,8650 Boomtown Road,Verdi,NV,89439,(775) 829-4100,"Monday - Friday: 9:00AM - 9:00PM: , Saturday: 8:00AM - 9:00PM: , Sunday: 9:00AM - 6:00PM: , Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,39.5131477,-119.9686580,PREMISE: ROOFTOP,US,Washoe County
23,475 East Hartford Blvd. North,East Hartford,CT,06118,(860) 290-6200,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,41.7556388,-72.6223276,STREET_ADDRESS: ROOFTOP,US,Hartford County
24,7700 Cabela Drive,Hammond,IN,46324,(219) 845-9040,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 8:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,41.5727438,-87.4826511,STREET_ADDRESS: ROOFTOP,US,Lake County
25,101 North Cabela Way,Post Falls,ID,83854,(208) 777-6300,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 8:00 AM - 6:00PM",United States,47.6995116,-117.0393692,STREET_ADDRESS: ROOFTOP,US,Kootenai County
27,3231 East Mall Drive,Rapid City,SD,57701,(605) 388-5600,"Monday - Friday: 9:00 AM - 9:00 PM, Saturday: 9:00 AM - 9:00 PM, Sunday: 9:00 AM - 6:00 PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,44.1007418,-103.1627472,STREET_ADDRESS: ROOFTOP,US,Pennington County
28,100 Cabela's Blvd.,Scarborough,ME,04074,(207) 883-7400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.6083314,-70.3976368,POSTAL_CODE: APPROXIMATE,US,
32,4550 King Ave E,Billings,MT,59101,(406) 373-7300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM-6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,45.7530533,-108.5291664,STREET_ADDRESS: ROOFTOP,US,Yellowstone County
33,2424 US Hwy 6 and 50,Grand Junction,CO,81505,(970) 683-5000,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,39.0951404,-108.6034436,STREET_ADDRESS: ROOFTOP,US,Mesa County
34,2800 Gateway Street,Springfield,OR,97477,(541) 349-5760,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,44.0730704,-123.0465258,STREET_ADDRESS: ROOFTOP,US,Lane County
35,1 Cabela Drive,Allen,TX,75002,(214) 383-0502,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,33.1215758,-96.6639714,STREET_ADDRESS: ROOFTOP,US,Collin County
36,2427 N Greenwich Road,Wichita,KS,67226,(316) 854-3130,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,37.7271707,-97.2120380,STREET_ADDRESS: ROOFTOP,US,Sedgwick County
37,9810 Quil Ceda Blvd.,Tulalip,WA,98271,(360) 474-4880,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,48.0844730,-122.1869693,STREET_ADDRESS: ROOFTOP,US,Snohomish County
38,2300 Promenade Blvd,Rogers,AR,72758,(479) 616-1925,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,36.3012749,-94.1757337,STREET_ADDRESS: ROOFTOP,US,Benton County
39,200 Cross Terrace Blvd,Charleston,WV,25309,(304) 400-6000,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 8:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,38.3158560,-81.7174185,ROUTE: GEOMETRIC_CENTER,US,Kanawha County
40,1400 E Washington Ave,Union Gap,WA,98903,(509) 941-2100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,46.5692920,-120.4815110,STREET_ADDRESS: ROOFTOP,US,Yakima County
41,5202 Bay Road,Saginaw,MI,48604,(989) 321-5700,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.4817868,-83.9743465,STREET_ADDRESS: ROOFTOP,US,Saginaw County
42,1650 Gemini Place,Columbus,OH,43240,(614) 702-2300,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 8:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,40.1491561,-82.9743756,STREET_ADDRESS: ROOFTOP,US,Delaware County
43,3000 44th Street,Grandville,MI,49418,(616) 682-6700,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday10:00AM - 7:00PM, Labor Day9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.8826192,-85.7384085,STREET_ADDRESS: ROOFTOP,US,Kent County
44,5100 Norton Healthcare Blvd.,Louisville,KY,40241,(502) 365-9020,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,38.3134304,-85.5705015,STREET_ADDRESS: ROOFTOP,US,Jefferson County
45,1499 Lombardi Avenue,Ashwaubenon,WI,54304,(920) 264-0140,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,44.5070109,-88.0796508,STREET_ADDRESS: ROOFTOP,US,Brown County
46,14050 Lincoln Street,Thornton,CO,80023,(303) 625-6100,"Monday - Friday: 9:00 AM - 9:00 PM, Saturday: 9:00 AM - 9:00 PM, Sunday: 9:00 AM - 7:00 PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,39.9517834,-104.9856365,STREET_ADDRESS: ROOFTOP,US,Adams County
47,10670 Cabela Drive,Lone Tree,CO,80124,(303) 625-9920,"Monday - Friday: 9:00 AM - 9:00 PM, Saturday: 9:00 AM - 9:00 PM, Sunday: 9:00 AM - 7:00 PM, Labor Day: 9:00 AM - 6:00 PM Holiday hours are subject to change & will appear above when applicable.",United States,39.5210923,-104.8695312,STREET_ADDRESS: ROOFTOP,US,Douglas County
48,2700 Market Place Dr,Waco,TX,76711,(254) 870-4300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,31.5003471,-97.1549271,ROUTE: GEOMETRIC_CENTER,US,McLennan County
49,125 Treeline Road,Kalispell,MT,59901,(406) 203-5200,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,48.2372982,-114.3330339,STREET_ADDRESS: RANGE_INTERPOLATED,US,Flathead County
50,833 Cabela Drive,Augusta,GA,30909,(762) 444-6500,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,33.5262288,-82.0182016,STREET_ADDRESS: ROOFTOP,US,Richmond County
51,"1025 Woodruff Road, Suite H101",Greenville,SC,29607,(864) 516-8100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.8325656,-82.3078907,SUBPREMISE: ROOFTOP,US,Greenville County
52,155 W 104th Ave,Anchorage,AK,99515,(907) 341-3400,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,61.1274110,-149.8814506,STREET_ADDRESS: ROOFTOP,US,Anchorage
53,1100 Christiana Mall,Newark,DE,19702,(302) 266-2300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,39.6773275,-75.6522379,STREET_ADDRESS: ROOFTOP,US,New Castle County
54,8400 Hudson Road,Woodbury,MN,55125,(612) 255-0000,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,44.9404520,-92.9040790,POINT_OF_INTEREST: APPROXIMATE,US,Washington County
55,3650 Brooks Street,Missoula,MT,59801,(406) 203-5400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,46.8376858,-114.0362426,STREET_ADDRESS: RANGE_INTERPOLATED,US,Missoula County
56,3030 W. Loop 289,Lubbock,TX,79407,(806) 472-4300,"Monday - Friday: 9:00AM - 9:00pm, Saturday: 9:00AM - 9:00pm, Sunday: 9:00AM - 7:00pm, Labor Day: 9:00AM - 6:00pm Holiday hours are subject to change & will appear above when applicable.",United States,33.5662471,-101.9477922,STREET_ADDRESS: ROOFTOP,US,Lubbock County
57,152 Northpoint Parkway,Acworth,GA,30102,(470) 315-7500,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.0811886,-84.6510530,STREET_ADDRESS: ROOFTOP,US,Cherokee County
58,2003 Walden Ave.,Cheektowaga,NY,14225,(716) 608-4770,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.9054949,-78.7627433,STREET_ADDRESS: ROOFTOP,US,Erie County
59,7555 SW Nyberg Street,Tualatin,OR,97062,(503) 822-2000,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,45.3845352,-122.7541630,STREET_ADDRESS: ROOFTOP,US,Washington County
61,3395 Nell O'Bryan Court,Bowling Green,KY,42103,(270) 936-8300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,36.9407774,-86.4171084,ROUTE: GEOMETRIC_CENTER,US,Warren County
62,1000 Cabela Drive,Fort Mill,SC,29708,(980) 337-2600,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,35.0992288,-80.9330510,STREET_ADDRESS: ROOFTOP,US,York County
63,44 Highland Common,Hudson,MA,01749,(978) 212-6200,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.3944755,-71.5950164,STREET_ADDRESS: RANGE_INTERPOLATED,US,Middlesex County
64,201 Cabela Drive,Garner,NC,27529,(984) 204-2200,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 8:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,35.6971770,-78.5831559,ROUTE: GEOMETRIC_CENTER,US,Wake County
65,1350 Cabela Drive,Sun Prairie,WI,53590,(608) 478-4100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, August 15: 8:00AM - 9:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.1912263,-89.1896430,POSTAL_CODE: APPROXIMATE,US,
66,3693 S. 25th E.,Ammon,ID,83406,(208) 932-2900,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.4265851,-111.9044611,POSTAL_CODE: APPROXIMATE,US,
67,350 Cobb Parkway,Ringgold,GA,30736,(706) 956-2800,"Monday - Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.9706452,-85.1947933,ROUTE: GEOMETRIC_CENTER,US,Catoosa County
