Store Number,Store Name,Address,City,State,Zip Code,Phone Number,Store Hours,Latitude,Longitude,Geo Accuracy,Country,Country Code,County
102,Sportsmans Warehouse Provo,1075 S University Avenue,Provo,UT,84601,(801) 818-2000,Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,40.2203673,-111.6567603,PREMISE: ROOFTOP,United States,US,
103,Sportsmans Warehouse Riverdale,1137 W. Riverdale Road,Riverdale,UT,84405,(801) 334-4000,Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM,41.1740922,-112.0073241,STREET_ADDRESS: ROOFTOP,United States,US,
104,Sportsmans Warehouse Meridian,3797 E. Fairview Avenue,Meridian,ID,83642,(208) 884-3000,Labor Day 9:00AM - 6:00PM,43.6176912,-116.3476313,STREET_ADDRESS: ROOFTOP,United States,US,
105,Sportsmans Warehouse Idaho Falls,2909 S. 25th E.,Idaho Falls,ID,83406,(208) 542-1900,Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM Monday - Friday 9:00AM - 9:00PM Saturdays 8:00AM - 9:00PM,43.471505,-111.982416,STREET_ADDRESS: ROOFTOP,United States,US,
106,Sportsmans Warehouse Loveland,1675 Rocky Mountain Avenue,Loveland,CO,80538,(970) 461-5000,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,40.409159,-105.005989,STREET_ADDRESS: ROOFTOP,United States,US,
108,Sportsmans Warehouse Grand Junction,2464 US Hwy 6 and 50 STE A,Grand Junction,CO,81505,(970) 243-8100,Monday - Saturday 9:00AM - 8:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM,39.0864373,-108.5925993,STREET_ADDRESS: ROOFTOP,United States,US,
114,Sportsmans Warehouse Midvale,165 W. 7200 S.,Midvale,UT,84047,(801) 567-1000,Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM,40.6066354,-111.9039843,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
117,Sportsmans Warehouse Phoenix,19205 N. 27th Avenue,Phoenix,AZ,85027,(623) 516-1400,Monday - Friday 9:00AM - 9:00PM Labor Day 9:00AM - 5:00PM Saturdays 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM,33.6613334,-112.1158428,STREET_ADDRESS: ROOFTOP,United States,US,
118,Sportsmans Warehouse Twin Falls,1940 Bridgeview Boulevard,Twin Falls,ID,83301,(208) 737-9900,Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 8:00AM,42.59637,-114.451071,STREET_ADDRESS: ROOFTOP,United States,US,
119,Sportsmans Warehouse Thornton,11 W. 84th Avenue,Thornton,CO,80260,(303) 428-6500,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,39.8505635,-104.9873694,STREET_ADDRESS: ROOFTOP,United States,US,
120,Sportsmans Warehouse Ankeny,921 SE Oralabor Road,Ankeny,IA,50021,(515) 963-3500,Monday - Thursday 10:00AM - 9:00PM Fridays & Saturdays 9:00AM - 9:00PM Labor Day 10:00AM - 6:00PM Sundays 10:00AM - 6:00PM,41.7020908,-93.5836727,PREMISE: ROOFTOP,United States,US,
121,Sportsmans Warehouse Anchorage,8681 Old Seward Hwy,Anchorage,AK,99515,(907) 644-1400,Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM Sundays 9:00AM - 7:00PM,61.1423642,-149.8592514,STREET_ADDRESS: ROOFTOP,United States,US,
123,Sportsmans Warehouse Reno,3306 Kietzke Lane,Reno,NV,89502,(775) 828-1500,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,39.4919715,-119.7867051,STREET_ADDRESS: ROOFTOP,United States,US,
126,Sportsmans Warehouse Albuquerque,1450 Renaissance Boulevard NE,Albuquerque,NM,87107,(505) 761-9900,Monday - Thursday 9:00AM - 8:00PM Fridays & Saturdays 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM,35.1363168,-106.6120341,STREET_ADDRESS: ROOFTOP,United States,US,
132,Sportsmans Warehouse Tucson,3945 West Costco Drive,Tucson,AZ,85741,(520) 877-4500,Monday - Thursday 9:00AM - 8:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 5:00PM,32.329657,-111.0507821,STREET_ADDRESS: ROOFTOP,United States,US,
137,Sportsmans Warehouse Casper,4120 East 2nd St.,Casper,WY,82609,(307) 233-3700,Monday - Saturday 9:00AM - 8:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM,42.8503317,-106.2740213,STREET_ADDRESS: ROOFTOP,United States,US,
138,Sportsmans Warehouse Colorado Springs,555 North Chelton Road,Colorado Springs,CO,80909,(719) 597-9200,Sundays 10:00AM - 7:00PM Fridays & Saturdays 9:00AM - 9:00PM Labor Day 10:00AM - 6:00PM Monday - Thursday 10:00AM - 9:00PM,38.8415757,-104.7650449,STREET_ADDRESS: ROOFTOP,United States,US,
139,Sportsmans Warehouse Mesa,1750 S. Greenfield Rd.,Mesa,AZ,85206,(480) 558-1111,Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 5:00PM Monday - Friday 9:00AM - 9:00PM Saturdays 9:00AM - 8:00PM,33.3846312,-111.7430401,PREMISE: ROOFTOP,United States,US,
145,Sportsmans Warehouse Fairbanks,423 Merhar Ave.,Fairbanks,AK,99701,(907) 374-8800,Labor Day 9:00AM - 6:00PM Memorial Day 9:00AM - 6:00PM Sundays 9:00AM - 7:00PM Monday - Saturday 9:00AM - 9:00PM,64.8568023,-147.6986979,STREET_ADDRESS: ROOFTOP,United States,US,
148,Sportsmans Warehouse St. George,2957 East 850 North,St. George,UT,84790,(435) 634-7300,Monday - Thursday 10:00AM - 8:00PM Labor Day 10:00AM - 6:00PM Fridays & Saturdays 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM,37.123911,-113.52273,STREET_ADDRESS: ROOFTOP,United States,US,
149,Sportsmans Warehouse Rocklin,6640 Lonetree Blvd,Rocklin,CA,95765,(916) 782-9900,Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM,38.8007437,-121.2970378,STREET_ADDRESS: ROOFTOP,United States,US,
152,Sportsmans Warehouse Chattanooga,6241 Perimeter Dr.,Chattanooga,TN,37421,(423) 892-6300,Monday - Thursday 9:00AM - 8:00PM Labor Day 9:00AM - 6:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,35.029553,-85.181797,STREET_ADDRESS: ROOFTOP,United States,US,
155,Sportsmans Warehouse Columbia,476 Piney Grove Road,Columbia,SC,29210,(803) 731-3000,Sundays 10:00AM - 6:00PM Monday - Thursday 10:00AM - 8:00PM Fridays 10:00AM - 9:00PM Saturdays 9:00AM - 9:00PM,34.0667566,-81.1398724,STREET_ADDRESS: ROOFTOP,United States,US,
158,Sportsmans Warehouse Medford,1710 Delta Waters Rd.,Medford,OR,97504,(541) 732-3700,Sundays 10:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM,42.3614734,-122.8614259,STREET_ADDRESS: ROOFTOP,United States,US,
159,Sportsmans Warehouse Wasilla,1901 East Parks Highway,Wasilla,AK,99654,(907) 864-8000,Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM,61.576299,-149.399054,STREET_ADDRESS: ROOFTOP,United States,US,
163,Sportsmans Warehouse Lexington,2200 War Admiral Way,Lexington,KY,40509,(859) 263-7000,Labor Day 10:00AM - 6:00PM Monday - Thursday 10:00AM - 9:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,38.0393222,-84.4269736,STREET_ADDRESS: ROOFTOP,United States,US,
201,Sportsmans Warehouse Missoula,2323 N. Reserve St.,Missoula,MT,59808,(406) 523-9000,Monday - Friday 9:00AM - 9:00PM Saturdays 8:00AM - 9:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,46.8868654,-114.0410974,STREET_ADDRESS: ROOFTOP,United States,US,
202,Sportsmans Warehouse Helena,2990 North Sanders St.,Helena,MT,59601,(406) 457-7200,Monday - Thursday 9:00AM - 8:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM Fridays & Saturdays 9:00AM - 8:00PM,46.6145265,-112.0160724,STREET_ADDRESS: ROOFTOP,United States,US,
203,Sportsmans Warehouse Bozeman,2214 Tschache Lane,Bozeman,MT,59718,(406) 586-0100,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,45.6959782,-111.0652763,STREET_ADDRESS: ROOFTOP,United States,US,
204,Sportsmans Warehouse Portland,9401 SE 82nd Ave,Portland,OR,97223,(503) 777-8700,Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM,45.4515267,-122.7614832,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
205,Sportsmans Warehouse Salem,1260 Lancaster Dr. SE,Salem,OR,97317,(503) 589-0800,Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM,44.9140868,-122.9761563,STREET_ADDRESS: ROOFTOP,United States,US,
206,Sportsmans Warehouse Bend,63492 Hunnell Rd.,Bend,OR,97701,(541) 693-5000,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,44.1059058,-121.3012777,STREET_ADDRESS: ROOFTOP,United States,US,
207,Sportsmans Warehouse Kennewick,6603 W Canal Dr.,Kennewick,WA,99336,(509) 736-2200,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,46.2249265,-119.2096792,STREET_ADDRESS: ROOFTOP,United States,US,
208,Sportsmans Warehouse Vancouver,11505 NE Fourth Plain Rd.,Vancouver,WA,98662,(360) 604-8000,Sundays 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM,45.6551707,-122.5778093,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
209,Sportsmans Warehouse Silverdale,9577 Ridgetop Blvd NW,Silverdale,WA,98383,(360) 307-6900,Labor Day 9:00AM - 6:00AM Monday - Thursday 9:00AM - 8:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,47.6567633,-122.6780319,STREET_ADDRESS: ROOFTOP,United States,US,
210,Sportsmans Warehouse Federal Way,1405 S 348th St.,Federal Way,WA,98003,(253) 835-4100,Labor Day 10:00AM - 6:00PM Monday - Thursday 10:00AM - 9:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,47.2880452,-122.3166912,STREET_ADDRESS: ROOFTOP,United States,US,
211,Sportsmans Warehouse Southaven,130 Marathon Way,Southaven,MS,38671,(662) 349-5500,Monday - Saturday 10:00AM - 9:00PM Labor Day 10:00AM - 6:00PM Sundays 10:00AM - 6:00PM,34.958067,-89.992172,STREET_ADDRESS: ROOFTOP,United States,US,
212,Sportsmans Warehouse Soldotna,44402 Sterling Hwy.,Soldotna,AK,99669,(907) 420-3000,Monday - Saturday 9:00AM - 9:00PM,60.484855,-151.067726,STREET_ADDRESS: ROOFTOP,United States,US,
213,Sportsmans Warehouse Puyallup,120 31st Ave SE STE G,Puyallup,WA,98374,(253) 864-0800,Monday - Thursday 10:00AM - 9:00PM Labor Day 10:00AM - 6:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,47.1607024,-122.292201,SUBPREMISE: ROOFTOP,United States,US,
221,Sportsmans Warehouse Redding,1659 Hilltop Dr.,Redding,CA,96002,(530) 222-5500,Labor Day 10:00AM - 6:00PM Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM,40.5825099,-122.3559426,STREET_ADDRESS: ROOFTOP,United States,US,
222,Sportsmans Warehouse Las Vegas,5647 Centennial Center Blvd,Las Vegas,NV,89149,(702) 474-1100,Fridays & Saturdays 9:00AM - 9:00PM Monday - Thursday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,36.2635558,-115.2583978,STREET_ADDRESS: ROOFTOP,United States,US,
223,Sportsmans Warehouse Roanoke,3550 Ferncliff Ave NW,Roanoke,VA,24017,(540) 366-9700,Monday - Thursday 10:00AM - 8:00PM Labor Day 10:00AM - 6:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,37.3062826,-79.9825191,STREET_ADDRESS: ROOFTOP,United States,US,
224,Sportsmans Warehouse Nampa,16865 N. Market Place Blvd.,Nampa,ID,83687,(208) 468-7600,Sundays 10:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM,43.6137822,-116.5948358,POINT_OF_INTEREST: APPROXIMATE,United States,US,
225,Sportsmans Warehouse Farmington,4905 E. Main St.,Farmington,NM,87402,(505) 326-2100,Labor Day 10:00AM - 6:00PM Sundays 10:00AM - 6:00PM Saturdays 9:00AM - 9:00PM Monday - Friday 10:00AM - 9:00PM,36.7669468,-108.1480228,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
226,Sportsmans Warehouse Lewiston,2002 Thain Grade,Lewiston,ID,83501,(208) 743-2000,Labor Day 9:00AM - 6:00PM,46.397273,-117.003124,STREET_ADDRESS: ROOFTOP,United States,US,
227,Sportsmans Warehouse Cheyenne,3745 E Lincoln Way,Cheyenne,WY,82001,(307) 635-4500,Monday - Saturday 9:00AM - 8:00PM Labor Day 9:00AM - 6:00PM Sundays 10:00AM - 6:00PM,26.2554353,-98.4757872,POINT_OF_INTEREST: APPROXIMATE,United States,US,Hidalgo County
228,Sportsmans Warehouse Logan,99 E 1400 N,Logan,UT,84341,(435) 787-1700,Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,41.7575207,-111.8317263,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
229,Sportsmans Warehouse Carson City,1443 S Carson St,Carson City,NV,89701,(775) 884-2100,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,39.1550088,-119.7660708,STREET_ADDRESS: ROOFTOP,United States,US,
230,Sportsmans Warehouse Hillsboro,18645 NW Tanasbourne Dr,Hillsboro,OR,97124,(503) 844-9100,Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,45.5402487,-122.8692717,STREET_ADDRESS: ROOFTOP,United States,US,
231,Sportsmans Warehouse Wenatchee,611 Valley Mall Pkwy,East Wenatchee,WA,98802,(509) 886-7200,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 9:00PM,47.4128964,-120.2897879,STREET_ADDRESS: ROOFTOP,United States,US,
232,Sportsmans Warehouse Chico,765 East Avenue Suite 170,Chico,CA,95926,(530) 897-0500,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,39.7607793,-121.8472787,SUBPREMISE: ROOFTOP,United States,US,
233,Sportsmans Warehouse Rancho Cordova,2344 Sunrise Blvd,Rancho Cordova,CA,95670,(916) 635-7800,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,38.6207042,-121.2676062,POINT_OF_INTEREST: APPROXIMATE,United States,US,
234,Sportsmans Warehouse Vernal,2015 W Highway 40,Vernal,UT,84078,(435) 789-5800,Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM,40.4379149,-109.5667747,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
235,Sportsmans Warehouse Kelso,321 Three Rivers Dr,Kelso,WA,98626,(360) 423-2600,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,46.1416932,-122.8997491,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
236,Sportsmans Warehouse Pocatello,760 Yellowstone Ave,Pocatello,ID,83201,(208) 232-3100,Labor Day 9:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,42.8885454,-112.4498815,STREET_ADDRESS: ROOFTOP,United States,US,
237,Sportsmans Warehouse Spokane,6720 N Division St.,Spokane,WA,99208,(509) 487-0700,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,47.7200174,-117.4086671,STREET_ADDRESS: ROOFTOP,United States,US,
238,Sportsmans Warehouse Fresno,8468 N Friant Road,Fresno,CA,93720,(559) 261-2900,Labor Day 9:00AM - 6:00PM Monday - Thursday 9:00AM - 8:00PM Fridays & Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 7:00PM,36.8588954,-119.7836148,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
239,Sportsmans Warehouse Flagstaff,2231 E Route 66,Flagstaff,AZ,86004,(928) 526-2300,Monday - Saturday 9:00AM - 8:00PM Sundays 10:00AM - 6:00PM Labor Day 9:00AM - 6:00PM,35.2036545,-111.6154877,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
240,Sportsmans Warehouse Heber City,1276 S US 189,Heber City,UT,84032,(435) 654-5600,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,40.492289,-111.415911,STREET_ADDRESS: ROOFTOP,United States,US,
241,Sportsmans Warehouse Klamath Falls,1863 Avalon Street,Klamath Falls,OR,97603,(541) 273-3000,Monday 9:00AM - 9:00PM Labor Day 9:00AM - 6:00PM Memorial Day 9:00AM - 6:00PM Tuesdays 9:00AM - 9:00PM Wednesdays 9:00AM - 9:00PM Thursdays 9:00AM - 9:00PM Fridays 9:00AM - 9:00PM Saturdays 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,42.2114824,-121.7539848,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
242,Sportsmans Warehouse Williston,925 32nd Ave. West,Williston,ND,58801,(701) 572-2500,Monday - Saturday 9:00AM - 8:00PM Sundays 12:00PM - 7:00PM Labor Day 9:00AM - 6:00PM,48.1734856,-103.6483465,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
243,Sportsmans Warehouse Sheridan,3910 River Point Parkway,Sheridan,CO,80110,(303) 761-5900,There are no store hours for this location.,39.6467144,-105.0080094,STREET_ADDRESS: ROOFTOP,United States,US,
244,Sportsmans Warehouse Show Low,4421 S White Mountain Road,Show Low,AZ,85901,(928) 537-0800,Labor Day 10:00AM - 6:00PM Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,34.358976,-110.0532247,STREET_ADDRESS: RANGE_INTERPOLATED,United States,US,
245,Sportsmans Warehouse Albany,1351 Waverly Dr. SE,Albany,OR,97322,(541) 928-5400,Monday - Saturday 9:00AM - 9:00PM Sundays 10:00AM - 6:00PM,44.6288972,-123.071574,STREET_ADDRESS: ROOFTOP,United States,US,
